station_key,station_id,name,road_name,intersection,lga,suburb,post_code,device_type,wgs84_latitude,wgs84_longitude
56683,18041,Canal Road,Canal Road,Burrows Road,Marrickville,St Peters,2044.0,Excel Lpl,-33.919224,151.177978
57413,74030,Pennant Hills Road,Pennant Hills Road,Copeland Road,The Hills,West Pennant Hills,2125.0,Trafficorder Loop Counter,-33.755604,151.048203
57103,53001,Mona Vale Road,Mona Vale Road,Woodlands Avenue,Ku-Ring-Gai,Pymble,2073.0,Trafficorder Loop Counter,-33.742413,151.150818
57522,86036,Parker Street,Parker Street,Cox Avenue,Penrith,Kingswood,2747.0,Trafficorder Dual Tube Classifier,-33.756058,150.712326
15334002,7251,City-West Link Road,City-West Link Road,James Street,Leichhardt,Lilyfield,2040.0,Tirtl,-33.874916,151.155319
57136,55036,Warringah Road,Warringah Road,Daines Parade,Warringah,Beacon Hill,2100.0,Trafficorder Dual Tube Classifier,-33.753216,151.257523
57443,74439,Wongala Crescent,Wongala Crescent,Sutherland Road,Hornsby,Beecroft,2119.0,Trafficorder Loop Counter,-33.750919,151.065918
57429,74200,Junction Road,Junction Road,Pacific Motorway,Hornsby,Wahroonga,2076.0,Trafficorder Loop Counter,-33.708275,151.116898
56989,44043,Henry Lawson Drive,Henry Lawson Drive,Milperra Road,Bankstown,Milperra,2214.0,Trafficorder Loop Counter,-33.930389,150.979797
56912,36208,Princes Highway,Princes Highway,Amaroo Street,Sutherland,Sylvania,2224.0,Trafficorder Dual Tube Classifier,-34.022137,151.089767
58893,SHT,Warringah Freeway,Warringah Freeway,Sydney Harbour Tunnel,North Sydney,North Sydney,2060.0,Tirtl,-33.841621,151.210663
56705,20001,Western Distributor,Western Distributor,Bowman Street,Leichhardt,Rozelle,2039.0,Trafficorder Loop Counter,-33.869068,151.185349
55430,03018,Eastern Distributor,Eastern Distributor,Anzac Parade,Sydney,Moore Park,2021.0,Trafficorder Dual Tube Classifier,-33.887547,151.219452
15934011,T0299,Great Western Highway,Great Western Highway Hvcs,Carawatha Road,Blue Mountains,Blackheath,2785.0,Tirtl,-33.616905,150.273621
57133,55027,Pittwater Road,Pittwater Road,Waterloo Street,Warringah,Narrabeen,2101.0,Trafficorder Loop Counter,-33.711651,151.296783
57141,55050,Warringah Road,Warringah Road,Daines Parade,Warringah,Beacon Hill,2100.0,Excel Lpl,-33.753262,151.257889
